Fide id,Name,Year_of_birth,Gender,Federation,Title,Standard_Rating,Rapid_rating,Blitz_rating
5000017,Anand  Viswanathan,1969,M,IND,GM,2753,2751,2785
5029465,Vidit  Santosh Gujrathi,1994,M,IND,GM,2726,2636,2735
5007003,Harikrishna  Pentala,1986,M,IND,GM,2719,2690,2663
5018471,Adhiban  B.,1992,M,IND,GM,2659,2624,2633
5004985,Sasikiran  Krishnan,1981,M,IND,GM,2647,2577,2552
5021596,Sethuraman  S.P.,1993,M,IND,GM,2644,2588,2477
5072786,Aravindh  Chithambaram VR.,1999,M,IND,GM,2641,2586,2600
5016690,Negi  Parimarjan,1993,M,IND,GM,2639,2613,2613
5002150,Ganguly  Surya Shekhar,1983,M,IND,GM,2635,2646,2563
25092340,Nihal Sarin,2004,M,IND,GM,2620,2418,2658
5058422,Narayanan.S.L,1998,M,IND,GM,2618,2436,2617
5010608,Gupta  Abhijeet,1989,M,IND,GM,2612,2551,2549
25059530,Praggnanandhaa R,2005,M,IND,GM,2608,1781,2555
5074452,Karthikeyan  Murali,1999,M,IND,GM,2606,2388,2564
5045185,Vaibhav  Suri,1997,M,IND,GM,2600,2543,2381
5015693,Gopal G.N.,1989,M,IND,GM,2593,2523,2559
5008123,Koneru  Humpy,1987,F,IND,GM,2586,2483,2483
5084423,Aryan Chopra,2001,M,IND,GM,2585,0,0
5061245,Puranik  Abhimanyu,2000,M,IND,GM,2584,2440,2460
46616543,Gukesh D,2006,M,IND,GM,2563,1927,2376
35009192,Erigaisi Arjun,2003,M,IND,GM,2559,2254,2609
5018293,Kannappan Priyadharshan,1993,M,IND,GM,2553,2478,2464
5024595,Lalith Babu M R,1993,M,IND,GM,2553,2557,2557
35093487,Sadhwani  Raunak,2005,M,IND,GM,2545,2454,2514
5004225,Chanda  Sandipan,1983,M,IND,GM,2543,2602,2490
5045207,Ghosh  Diptayan,1998,M,IND,GM,2541,2473,2534
5018420,Narayanan  Srinath,1994,M,IND,GM,2540,2518,2472
5011132,Deepan Chakkravarthy J.,1987,M,IND,GM,2535,2475,2490
5008352,Sengupta  Deep,1988,M,IND,GM,2527,2438,2347
5029104,Stany  G.A.,1993,M,IND,GM,2522,2354,2502
5019141,Shyam  Sundar M.,1992,M,IND,GM,2518,2464,2489
25012223,Visakh N R,1999,M,IND,GM,2516,2371,2428
5015197,Harika  Dronavalli,1991,F,IND,GM,2515,2450,2422
5037883,Gagare  Shardul,1997,M,IND,GM,2514,2449,2488
5078776,Harsha Bharathakoti,2000,M,IND,GM,2509,2488,2576
5007429,Panchanathan  Magesh Chandran,1983,M,IND,GM,2508,0,2494
5011167,Arun Prasad  S.,1988,M,IND,GM,2507,2486,2514
25002767,Iniyan  P,2002,M,IND,GM,2506,2295,2400
5021103,Grover  Sahaj,1995,M,IND,GM,2504,2492,2525
5024854,Debashis  Das,1993,M,IND,GM,2501,2565,2470
5024366,Anurag  Mhamal,1995,M,IND,GM,2499,2382,2317
5038448,Girish  A. Koushik,1997,M,IND,GM,2498,2410,2387
5019184,Swapnil  S. Dhopade,1990,M,IND,GM,2495,2470,2402
5040299,Akash G,1996,M,IND,GM,2495,2393,2359
5005779,Venkatesh  M.R.,1985,M,IND,GM,2493,2414,2450
5028183,Swayams  Mishra,1992,M,IND,GM,2489,2461,2419
25006479,Karthik Venkataraman,1999,M,IND,GM,2483,2192,2362
5012414,Akshayraj  Kore,1988,M,IND,GM,2482,2484,2399
5018137,Ashwin  Jayaram,1990,M,IND,GM,2480,2513,2461
